Date,Cost per Mb, Cost per Genome ,
2001-09-30,5292.39288,"$95,263,072",
2002-03-31,3898.63541,"$70,175,437",
2002-09-30,3413.80119,"$61,448,422",
2003-03-31,2986.20467,"$53,751,684",
2003-10-31,2230.97524,"$40,157,554",
2004-01-31,1598.90979,"$28,780,376",
2004-04-30,1135.69867,"$20,442,576",
2004-07-31,1107.46365,"$19,934,346",
2004-10-31,1028.85068,"$18,519,312",
2005-01-31,974.16498,"$17,534,970",
2005-04-30,897.76108,"$16,159,699",
2005-07-31,898.90134,"$16,180,224",
2005-10-31,766.72912,"$13,801,124",
2006-01-31,699.20327,"$12,585,659",
2006-04-30,651.80747,"$11,732,535",
2006-07-31,636.40640,"$11,455,315",
2006-10-31,581.91980,"$10,474,556",
2007-01-31,522.70772,"$9,408,739",
2007-04-30,502.61128,"$9,047,003",
2007-07-31,495.96345,"$8,927,342",
2007-10-31,397.08730,"$7,147,571",
2008-01-31,102.12733,"$3,063,820",
2008-04-30,15.03314,"$1,352,982",
2008-07-31,8.35644,"$752,080",
2008-10-31,3.80558,"$342,502",
2009-01-31,2.58595,"$232,735",
2009-04-30,1.71904,"$154,714",
2009-07-31,1.20072,"$108,065",
2009-10-31,0.78148,"$70,333",
2010-01-31,0.51971,"$46,774",
2010-04-30,0.35013,"$31,512",
2010-07-31,0.34583,"$31,125",
2010-10-31,0.32324,"$29,092",
2011-01-31,0.23292,"$20,963",
2011-04-30,0.18569,"$16,712",
2011-07-31,0.11663,"$10,497",
2011-10-30,0.08604,"$7,743",
2012-01-31,0.08518,"$7,666",
2012-04-30,0.06557,"$5,901",
2012-07-31,0.06650,"$5,985",
2012-10-31,0.07354,"$6,618",
2013-01-31,0.06301,"$5,671",
2013-04-30,0.06364,"$5,550",
2013-07-31,0.06167,"$5,550",
2013-10-31,0.05662,"$5,096",
2014-01-31,0.04453,"$4,008",
2014-04-30,0.05467,"$4,920",
2014-07-31,0.05450,"$4,905",
2014-10-31,0.06368,"$5,731",
2015-01-31,0.04411,"$3,970",
2015-04-30,0.04679,"$4,211",
2015-07-31,0.01515,"$1,363",
2015-10-31,0.01384,"$1,245",
2016-05-31,0.01306,"$1,176",
2016-08-31,0.01675,"$1,508",
2016-11-30,0.01506,"$1,356",
2017-02-28,0.01128,"$1,015",
2017-05-31,0.01482,"$1,333",
2017-08-31,0.01260,"$1,134",
2017-11-30,0.02049,"$1,844",
2018-02-28,0.01369,"$1,232",
2018-05-31,0.01626,"$1,463",
2018-08-31,0.01630,"$1,467",
2018-11-30,0.01546,"$1,392",
2019-02-28,0.01103,$993,
2019-05-01,0.00674,$606,
2019-08-01,0.01047,$942,
2019-11-30,0.00773,$695,
2020-02-28,0.00716,$645,
2020-05-31,0.00780,$702,
2020-08-31,0.00765,$689,
2020-11-30,0.00569,$512,
2021-02-28,0.00945,$851,
2021-05-31,0.00504,$454,
2021-08-31,0.00625,$562,
,,,
