Assembly Accession	Organism Name	Organism Common Name	Organism Taxonomic ID	Assembly Submitter	Assembly Submission Date	Assembly Sequencing Tech	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	Organism Infraspecific Names Sex	Source Database	WGS project accession
GCA_016165875.1	Acanthopleura granulata		61363	University of Alabama	2020-12-21	Illumina HiSeq; Oxford Nanopore GridION	Scaffold	141	1098986	216737451	39.5	87	5936	87	9	23921462		606536932	544712841	male	SOURCE_DATABASE_GENBANK	JABBOT01
GCA_009760885.1	Achatina immaculata		2605667	Agricultural Genomics Institute at Shenzhen	2019-12-17	Illumina; PacBio RSII	Chromosome	116	3802429	643113325	38.5	563	3230	563	11	56367627	31	1653153977	1652887277		SOURCE_DATABASE_GENBANK	WNKJ01
GCA_905250025.1	Adineta ricciae		249248	IMPERIAL COLLEGE LONDON	2021-03-19		Scaffold	203	178075	48132924	35.5	4302	5342	4302	129	283762		135599987	135540521		SOURCE_DATABASE_GENBANK	CAJNOJ01
GCA_900239715.1	Adineta ricciae		249248	IMPERIAL COLLEGE LONDON	2018-02-10		Scaffold	5634	9511	67257384	35.5	142228	154484	142228	3179	18700		201276416	189230653		SOURCE_DATABASE_GENBANK	OEOB01
GCA_900240375.1	Adineta ricciae		249248	IMPERIAL COLLEGE LONDON	2018-02-10		Scaffold	803	58268	60720177	35.5	4125	10991	4125	176	276750		174494180	170717049		SOURCE_DATABASE_GENBANK	OEQJ01
GCA_905250095.1	Adineta ricciae		249248	IMPERIAL COLLEGE LONDON	2021-03-20		Scaffold	2737	18524	61323190	35.5	22742	22881	22742	2729	18562		172240959	172238701		SOURCE_DATABASE_GENBANK	CAJNOR01
GCA_905250115.1	Adineta steineri		433720	IMPERIAL COLLEGE LONDON	2021-03-20		Scaffold	1408	32736	49572593	29	8257	12126	8257	163	200132		171140834	170934114		SOURCE_DATABASE_GENBANK	CAJNOI01
GCA_905250015.1	Adineta steineri		433720	IMPERIAL COLLEGE LONDON	2021-03-20		Scaffold	1639	38515	66534837	28.5	8705	13984	8705	285	199153		231071434	230781844		SOURCE_DATABASE_GENBANK	CAJNOM01
GCA_905250035.1	Adineta steineri		433720	IMPERIAL COLLEGE LONDON	2021-03-20		Scaffold	829	55060	46702943	29	7597	10064	7597	257	168203		160346746	160218158		SOURCE_DATABASE_GENBANK	CAJNOE01
GCA_905250045.1	Adineta steineri		433720	IMPERIAL COLLEGE LONDON	2021-03-20		Scaffold	848	52305	46663324	29	9359	11762	9359	265	158138		160340742	160208293		SOURCE_DATABASE_GENBANK	CAJNOG01
