Accession,Organism_Name,Organism_Common_Name,Organism_Taxonomic_ID,Submitter,Submission_Date,Sequencing_Tech,Level,Contig_L50,Contig_N50,GC_Count,GC_Percent,Number_of_Component_Sequences,Number_of_Contigs,Number_of_Scaffolds,Scaffold_L50,Scaffold_N50,Total_Number_of_Chromosomes,Total_Sequence_Length,Total_Ungapped_Length,Organism_Infraspecific_Names_Sex,Source_Database,WGS_project_accession,First_Publication_Date,Original_Contig_N50,Phylum,Sequencing_Type
GCA_016165875.1,Acanthopleura granulata,,61363,University of Alabama,2020-12-21,Illumina HiSeq; Oxford Nanopore GridION,Scaffold,141,1098986,216737451.0,39.5,87,5936,87.0,9.0,23921462.0,,606536932,544712841,male,SOURCE_DATABASE_GENBANK,JABBOT01,2020-12-21,1098986,Mollusca,Long read
GCA_009760885.1,Achatina immaculata,,2605667,Agricultural Genomics Institute at Shenzhen,2019-12-17,Illumina; PacBio RSII,Chromosome,116,3802429,643113325.0,38.5,563,3230,563.0,11.0,56367627.0,31.0,1653153977,1652887277,,SOURCE_DATABASE_GENBANK,WNKJ01,2019-12-17,3802429,Mollusca,Long read
GCA_905250025.1,Adineta ricciae,,249248,IMPERIAL COLLEGE LONDON,2021-03-19,nan,Scaffold,203,178075,48132924.0,35.5,4302,5342,4302.0,129.0,283762.0,,135599987,135540521,,SOURCE_DATABASE_GENBANK,CAJNOJ01,2021-03-19,178075,Rotifera,No information provided
GCA_900239715.1,Adineta ricciae,,249248,IMPERIAL COLLEGE LONDON,2018-02-10,nan,Scaffold,5634,9511,67257384.0,35.5,142228,154484,142228.0,3179.0,18700.0,,201276416,189230653,,SOURCE_DATABASE_GENBANK,OEOB01,2018-02-10,9511,Rotifera,No information provided
GCA_900240375.1,Adineta ricciae,,249248,IMPERIAL COLLEGE LONDON,2018-02-10,nan,Scaffold,803,58268,60720177.0,35.5,4125,10991,4125.0,176.0,276750.0,,174494180,170717049,,SOURCE_DATABASE_GENBANK,OEQJ01,2018-02-10,58268,Rotifera,No information provided
GCA_905250095.1,Adineta ricciae,,249248,IMPERIAL COLLEGE LONDON,2021-03-20,nan,Scaffold,2737,18524,61323190.0,35.5,22742,22881,22742.0,2729.0,18562.0,,172240959,172238701,,SOURCE_DATABASE_GENBANK,CAJNOR01,2021-03-20,18524,Rotifera,No information provided
GCA_905250115.1,Adineta steineri,,433720,IMPERIAL COLLEGE LONDON,2021-03-20,nan,Scaffold,1408,32736,49572593.0,29.0,8257,12126,8257.0,163.0,200132.0,,171140834,170934114,,SOURCE_DATABASE_GENBANK,CAJNOI01,2021-03-20,32736,Rotifera,No information provided
GCA_905250015.1,Adineta steineri,,433720,IMPERIAL COLLEGE LONDON,2021-03-20,nan,Scaffold,1639,38515,66534837.0,28.5,8705,13984,8705.0,285.0,199153.0,,231071434,230781844,,SOURCE_DATABASE_GENBANK,CAJNOM01,2021-03-20,38515,Rotifera,No information provided
GCA_905250035.1,Adineta steineri,,433720,IMPERIAL COLLEGE LONDON,2021-03-20,nan,Scaffold,829,55060,46702943.0,29.0,7597,10064,7597.0,257.0,168203.0,,160346746,160218158,,SOURCE_DATABASE_GENBANK,CAJNOE01,2021-03-20,55060,Rotifera,No information provided
GCA_905250045.1,Adineta steineri,,433720,IMPERIAL COLLEGE LONDON,2021-03-20,nan,Scaffold,848,52305,46663324.0,29.0,9359,11762,9359.0,265.0,158138.0,,160340742,160208293,,SOURCE_DATABASE_GENBANK,CAJNOG01,2021-03-20,52305,Rotifera,No information provided
GCA_905250065.1,Adineta steineri,,433720,IMPERIAL COLLEGE LONDON,2021-03-19,nan,Scaffold,699,63248,45640365.0,29.0,9008,11117,9008.0,245.0,169644.0,,156314491,156198338,,SOURCE_DATABASE_GENBANK,CAJNON01,2021-03-19,63248,Rotifera,No information provided
GCA_905332015.1,Adineta steineri,,433720,IMPERIAL COLLEGE LONDON,2021-03-20,nan,Scaffold,2085,20688,47630928.0,29.0,34092,34407,34092.0,2068.0,20845.0,,163706511,163700261,,SOURCE_DATABASE_GENBANK,CAJOAZ01,2021-03-20,20688,Rotifera,No information provided
GCA_905332035.1,Adineta steineri,,433720,IMPERIAL COLLEGE LONDON,2021-03-20,nan,Scaffold,1930,21460,48774360.0,29.0,39093,39683,39093.0,1837.0,22358.0,,166602683,166566774,,SOURCE_DATABASE_GENBANK,CAJOAY01,2021-03-20,21460,Rotifera,No information provided
GCA_905332045.1,Adineta steineri,,433720,IMPERIAL COLLEGE LONDON,2021-03-20,nan,Scaffold,1902,22096,47706862.0,29.0,32429,32791,32429.0,1846.0,22714.0,,163826361,163808677,,SOURCE_DATABASE_GENBANK,CAJOBB01,2021-03-20,22096,Rotifera,No information provided
GCA_021613535.1,Adineta vaga,,104782,University of Namur,2022-01-26,nan,Chromosome,3,14694427,30999091.0,30.5,6,25,6.0,3.0,16930519.0,6.0,100824805,100824368,,SOURCE_DATABASE_GENBANK,,2022-01-26,14694427,Rotifera,No information provided
GCA_000513175.1,Adineta vaga,,104782,Genoscope CEA,2013-11-26,nan,Scaffold,579,94665,65866350.0,30.5,41657,41968,36167.0,240.0,260259.0,,217933776,213699671,,SOURCE_DATABASE_GENBANK,CAWI02,2013-11-26,94665,Rotifera,No information provided
GCA_013411005.1,Adineta vaga,,104782,Skolkovo Institute of Science and Technology,2020-07-13,Illumina MiSeq,Contig,2621,22072,58963306.0,29.5,19202,19202,,,,,197096676,197096676,,SOURCE_DATABASE_GENBANK,WJQV01,2020-07-13,22072,Rotifera,Short read
GCA_021403095.1,Adineta vaga,,104782,Marine Biological Laboratory,2022-01-10,PacBio RSII; Illumina MiSeq,Contig,694,87402,65360423.0,30.0,9856,9856,,,,,217117546,217117546,,SOURCE_DATABASE_GENBANK,JAGENE01,2022-01-10,87402,Rotifera,Long read
GCA_900239655.1,Adineta vaga,,104782,IMPERIAL COLLEGE LONDON,2018-02-10,nan,Contig,333,86888,33930727.0,31.0,12963,12963,,,,,109398351,109398351,,SOURCE_DATABASE_GENBANK,OENK01,2018-02-10,86888,Rotifera,No information provided
